text,label
"Congratulations! You have won a $1000 gift card. Click here to claim now!",1
"Dear friend, I need your help to transfer money. Please reply urgently.",1
"Reminder: Your appointment is scheduled for tomorrow at 10 AM.",0
"Get cheap medicines at 90% off. Visit our site now!",1
"Meeting agenda: Review Q3 results and discuss next steps.",0
"FREE vacation offer! Act now and travel the world!",1
"Your Amazon order has been shipped and will arrive soon.",0
"Hot singles in your area want to meet you!",1
"Can you please send me the notes from today’s lecture?",0
"You are selected for a free course on trading. Join now!",1
"Invoice attached for your recent payment. Thank you.",0
"Lowest prices guaranteed. Click here to compare rates.",1
"Let’s catch up this weekend. Coffee at our usual spot?",0
"Earn $5000/month from home. No experience needed!",1
"Team meeting rescheduled to Thursday 3 PM.",0
